"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Mike Schmidt","1011586","Phillies","3B","686","","9.36056995391846","9.4"
"Joe Morgan","1009179","Reds","2B","641","","8.60410785675049","8.6"
"Bert Blyleven","1001098","Twins","P","","281.0","8.0743522644043","8.1"
"Johnny Bench","1000826","Reds","C","708","","7.96962881088257","8.0"
"Jimmy Wynn","1014313","Dodgers","CF","656","","7.44019365310669","7.4"
"Fergie Jenkins","1006388","Rangers","P","","328.1","7.36815690994263","7.4"
"Bobby Grich","1005033","Orioles","2B","707","","6.83609008789063","6.8"
"Darrell Evans","1003864","Braves","3B","710","","6.81804895401001","6.8"
"Phil Niekro","1009583","Braves","P","","302.1","6.75412178039551","6.7"
"Jon Matlack","1008246","Mets","P","","265.1","7.17452478408813","6.7"
"Rod Carew","1001942","Twins","2B","690","","6.57356023788452","6.6"
"Andy Messersmith","1008799","Dodgers","P","","292.1","5.2379732131958","6.3"
"Nolan Ryan","1011348","Angels","P","","332.2","6.29766416549683","6.3"
"Jim Rooker","1011183","Pirates","P","","262.2","4.999183177948","6.2"
"Luis Tiant","1013054","Red Sox","P","","311.1","6.10187530517578","6.1"
"Willie Stargell","1012426","Pirates","LF","605","","6.04031419754028","6.0"
"Reggie Smith","1012201","Cardinals","RF","598","","5.95415210723877","6.0"
"Steve Busby","1001745","Royals","P","","292.1","5.94948148727417","5.9"
"Catfish Hunter","1006199","Athletics","P","","318.1","5.81072235107422","5.8"
"Gaylord Perry","1010210","Indians","P","","322.1","5.80930948257446","5.8"
"Dave Concepcion","1002494","Reds","SS","653","","5.7974214553833","5.8"
"Reggie Jackson","1006308","Athletics","RF","604","","5.65242099761963","5.7"
"Cesar Cedeno","1002100","Astros","CF","688","","5.64155340194702","5.6"
"Pete Rose","1011217","Reds","LF","770","","5.61898756027222","5.6"
"Jerry Koosman","1007103","Mets","P","","265.0","5.05266189575195","5.4"
"Ken Holtzman","1005989","Athletics","P","","255.1","5.15855884552002","5.2"
"Vida Blue","1001094","Athletics","P","","282.1","5.11747074127197","5.1"
"Steve Carlton","1001964","Phillies","P","","291.0","4.86169958114624","5.1"
"Al Oliver","1009773","Pirates","1B/CF","661","","5.07096433639526","5.1"
"Carl Morton","1009230","Braves","P","","274.2","5.53309345245361","5.0"
"Brooks Robinson","1011055","Orioles","3B","622","","4.9693922996521","5.0"
"Ron Cey","1002108","Dodgers","3B","673","","4.96159553527832","5.0"
"Ken Brett","1001402","Pirates","P","","191.0","3.68912720680237","4.9"
"Richie Zisk","1014455","Pirates","RF","604","","4.91382360458374","4.9"
"Ralph Garr","1004554","Braves","RF/LF","645","","4.89536428451538","4.9"
"Don Money","1009052","Brewers","3B","709","","4.86739444732666","4.9"
"Jim Kaat","1006660","White Sox","P","","277.1","4.8100209236145","4.8"
"Elliott Maddox","1007947","Yankees","CF","550","","4.71123838424683","4.7"
"Bill Bonham","1001165","Cubs","P","","242.2","5.04850769042969","4.7"
"Ken Henderson","1005634","White Sox","CF","680","","4.64155101776123","4.6"
"Paul Blair","1001031","Orioles","CF","615","","4.61515522003174","4.6"
"Bert Campaneris","1001868","Athletics","SS","587","","4.59292221069336","4.6"
"Dave Cash","1002041","Phillies","2B","745","","4.56588411331177","4.6"
"Rick Reuschel","1010852","Cubs","P","","240.2","4.39519309997559","4.5"
"Tom Seaver","1011708","Mets","P","","236.0","4.7280445098877","4.5"
"Joe Rudi","1011283","Athletics","LF","639","","4.47213411331177","4.5"
"Gene Tenace","1012911","Athletics","C/1B","612","","4.47093963623047","4.5"
"George Scott","1011682","Brewers","1B","672","","4.45707178115845","4.5"
"Bobby Bonds","1001157","Giants","RF","670","","4.43734836578369","4.4"
"Don Sutton","1012745","Dodgers","P","","276.0","4.34132242202759","4.4"
"Graig Nettles","1009517","Yankees","3B","638","","4.38615942001343","4.4"
"Mike Jorgensen","1006622","Expos","1B","366","","4.36771583557129","4.4"
"Don Gullett","1005134","Reds","P","","243.0","3.88975691795349","4.4"
"Wilbur Wood","1014248","White Sox","P","","320.1","4.30272531509399","4.3"
"Greg Gross","1005086","Astros","RF/LF","676","","4.30170822143555","4.3"
"Cesar Geronimo","1004639","Reds","CF","530","","4.28310441970825","4.3"
"Amos Otis","1009893","Royals","CF","632","","4.26431369781494","4.3"
"Mike Marshall","1008144","Dodgers","P","","208.1","4.11429786682129","4.2"
"Dick Allen","1000137","White Sox","1B","525","","4.17998933792114","4.2"
"Mickey Lolich","1007712","Tigers","P","","308.0","4.08335161209106","4.1"
"Sal Bando","1000505","Athletics","3B","603","","4.07260417938232","4.1"
"Hal McRae","1008687","Royals","LF/DH","607","","4.06512498855591","4.1"
"Pat Dobson","1003345","Yankees","P","","281.0","4.05334329605103","4.1"
"Ted Simmons","1011986","Cardinals","C","662","","4.0510778427124","4.1"
"Ellie Rodriguez","1011104","Angels","C","485","","4.03244638442993","4.0"
"Jim Perry","1010213","Indians","P","","252.0","3.94060683250427","3.9"
